Cluster,CF
SOL-01,0.298318287
SOL-01,0.298426139
SOL-01,0.298477573
SOL-01,0.298584503
SOL-01,0.298634869
SOL-01,0.298180639
SOL-01,0.297612313
SOL-01,0.296946547
SOL-01,0.29744869
SOL-01,0.298005597
SOL-01,0.298113883
SOL-01,0.298221698
SOL-01,0.298329036
SOL-01,0.298435941
SOL-01,0.298765952
SOL-01,0.298815778
SOL-01,0.298585569
SOL-01,0.296741349
SOL-01,0.297412077
SOL-01,0.297745031
SOL-01,0.297741257
SOL-01,0.297736925
SOL-01,0.297788222
SOL-01,0.297951215
SOL-01,0.298449646
SOL-01,0.298779239
SOL-01,0.298940448
SOL-01,0.296592357
SOL-01,0.29731934
SOL-01,0.297596294
SOL-01,0.297255883
SOL-01,0.297195331
SOL-01,0.29719029
SOL-01,0.297465701
SOL-01,0.297515953
SOL-01,0.297678022
SOL-01,0.297951871
SOL-01,0.295823613
SOL-01,0.296327341
SOL-01,0.29671764
SOL-01,0.296657199
SOL-01,0.296652477
SOL-01,0.296816217
SOL-01,0.296923143
SOL-01,0.296804373
SOL-01,0.296910267
SOL-01,0.297071985
SOL-01,0.296174106
SOL-01,0.296338856
SOL-01,0.296164954
SOL-01,0.296497995
SOL-01,0.296548517
SOL-01,0.296542264
SOL-01,0.296479142
SOL-01,0.296640959
SOL-01,0.295225627
SOL-01,0.29544713
SOL-01,0.295497329
SOL-01,0.295945279
SOL-01,0.295653313
SOL-01,0.29507535
SOL-01,0.295194895
SOL-01,0.295814576
SOL-01,0.296149347
SOL-01,0.296199681
SOL-01,0.296476442
SOL-01,0.296242123
SOL-01,0.295381137
SOL-01,0.295902054
SOL-01,0.29595379
SOL-01,0.296911419
SOL-01,0.297408475
SOL-01,0.297458462
SOL-01,0.297112377
SOL-01,0.296197929
SOL-01,0.295212922
SOL-01,0.296431974
SOL-01,0.297105773
SOL-01,0.297608646
SOL-01,0.297997783
SOL-01,0.298329833
SOL-01,0.298380144
SOL-01,0.297697409
SOL-01,0.29695517
SOL-01,0.296096129
SOL-01,0.295689285
SOL-01,0.297017139
SOL-01,0.297464107
SOL-01,0.297572008
SOL-01,0.298180817
SOL-01,0.298343528
SOL-01,0.298168079
SOL-01,0.297935564
SOL-01,0.297815052
SOL-01,0.297467798
SOL-01,0.297825713
SOL-01,0.297765499
SOL-01,0.297873443
SOL-01,0.298037015
SOL-01,0.298312873
SOL-01,0.298419378
SOL-01,0.298637692
SOL-01,0.298574511
SOL-01,0.298623352
SOL-01,0.298671384
SOL-01,0.298407158
SOL-01,0.298066233
SOL-01,0.298230387
SOL-01,0.298337798
SOL-01,0.298388499
SOL-01,0.298438977
SOL-01,0.298376234
SOL-01,0.297184831
SOL-01,0.298361584
SOL-01,0.298184407
SOL-01,0.297752443
SOL-01,0.29774835
SOL-01,0.298081244
SOL-01,0.298076314
SOL-01,0.297901783
SOL-01,0.297670342
SOL-01,0.296808736
SOL-01,0.296403799
SOL-01,0.296813929
SOL-01,0.296696416
SOL-01,0.296912123
SOL-01,0.297075612
SOL-01,0.296673461
SOL-01,0.295929344
SOL-01,0.295978402
SOL-01,0.296650562
SOL-01,0.296755299
SOL-01,0.296268515
SOL-01,0.296320513
SOL-01,0.29625874
SOL-01,0.296196481
SOL-01,0.296126856
SOL-01,0.295267348
SOL-01,0.295592135
SOL-01,0.295526242
SOL-01,0.294175459
SOL-01,0.294336586
SOL-01,0.294633141
SOL-01,0.294681863
SOL-01,0.294330186
SOL-01,0.294824785
SOL-01,0.294814408
SOL-01,0.294283608
SOL-01,0.2943193
SOL-01,0.295564787
SOL-01,0.295954249
SOL-01,0.295491155
SOL-01,0.294912256
SOL-01,0.295244385
SOL-01,0.295177209
SOL-01,0.29493042
SOL-01,0.294867246
SOL-01,0.29468933
SOL-01,0.29603915
SOL-01,0.296428172
SOL-01,0.295966117
SOL-01,0.295786657
SOL-01,0.295606398
SOL-01,0.295254571
SOL-01,0.296425255
SOL-01,0.296532607
SOL-01,0.296639487
SOL-01,0.295896528
SOL-01,0.296172722
SOL-01,0.29660995
SOL-01,0.296317851
SOL-01,0.29608145
SOL-01,0.295787271
SOL-01,0.297516889
SOL-01,0.297511802
SOL-01,0.297674967
SOL-01,0.29710487
SOL-01,0.296928362
SOL-01,0.297146828
SOL-01,0.297477518
SOL-01,0.297186757
SOL-01,0.296998237
SOL-01,0.297142245
SOL-01,0.297475101
SOL-01,0.297412951
SOL-01,0.297744556
SOL-01,0.297737755
SOL-01,0.297843134
SOL-01,0.298060594
SOL-01,0.298221073
SOL-01,0.298381276
SOL-01,0.298315753
SOL-01,0.296371745
SOL-01,0.296083138
SOL-01,0.29568008
SOL-01,0.296636005
SOL-01,0.297080918
SOL-01,0.297016999
SOL-01,0.29717839
SOL-01,0.298296968
SOL-01,0.298344607
SOL-01,0.296052189
SOL-01,0.295536401
SOL-01,0.295806577
SOL-01,0.296818353
SOL-01,0.297149604
SOL-01,0.296972191
SOL-01,0.297302538
SOL-01,0.296898017
SOL-01,0.296888203
SOL-01,0.294653579
SOL-01,0.295152445
SOL-01,0.295826581
SOL-01,0.296612021
SOL-01,0.296491233
SOL-01,0.29597311
SOL-01,0.295272826
SOL-01,0.293642068
SOL-01,0.294317451
